# Population NorthSea_Thornbackskate	P08867,P08869,P08870,P08899,P08901,P08902,P08903,P08905,P08907,P08909,P08912,P08913,P08915,P08916,P08918,P08919,P08920,P08921,P08922,P08923,P08924,P08925,P08927,P08928,P08930,P08931,P08932,P08933,P08935,P08936,P08960,P08963,P08964,P08965,P08967,P08968,P08969,P08971,P08972,P08973,P08974,P08975,P08980,P08981
# Population Skagerrak_Thornbackskate	P08780,SR10,SR11,SR12,SR14,SR15,SR16,SR17,SR18,SR19,SR20,SR22,SR23,SR3,SR4,SR5,SR8,SR9
# Population NorthSea_Blonderay	P08949,P08950,P08951,P08952
# Population NorthSea_Spottedray	P08871,P08878,P08953
# Population NorthSea_unknownspc	P2397507
# Population Skagerrak_Sailray	P08955,P08956,P08957,P08958
# Population Kattegat_Thornbackskate	P08713
# Population Aquarium_Thornbackskate	P2397621,P2397622,P2397623,P2397624,P2397625,P2397626,P2397627,P2397628,P2397629,P2397630,P2397631,P2397632,P2397633,P2397634,P2397635,P2397636,P2397637,P2397638
# Group defaultgrp	NorthSea_Thornbackskate,Skagerrak_Thornbackskate,NorthSea_Blonderay,NorthSea_Spottedray,NorthSea_unknownspc,Skagerrak_Sailray,Kattegat_Thornbackskate,Aquarium_Thornbackskate
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
171	NC_045957.1	17519518	1.00000	1.00000	0.00000	0.31381	0.31381	0.00000	-nan	-nan	0.00000
181	NC_045957.1	27801950	0.47628	0.47628	0.00000	0.19234	0.19234	0.00000	-nan	-nan	0.00000
189	NC_045957.1	32309042	0.49166	0.49166	0.00000	0.43249	0.43249	0.00000	-nan	-nan	0.00000
208	NC_045957.1	65989341	0.46525	0.46525	0.00000	0.23418	0.23418	0.00000	-nan	-nan	0.00000
228	NC_045957.1	93921982	0.00715	0.00715	0.00000	-0.00875	-0.00875	0.00000	-nan	-nan	0.00000
239	NC_045957.1	120507243	0.88410	0.88410	0.00000	0.95194	0.95194	0.00000	-nan	-nan	0.00000
241	NC_045957.1	123349993	0.11111	0.11111	0.00000	0.11111	0.11111	0.00000	-nan	-nan	0.00000
292	NC_045958.1	32956253	0.03014	0.03014	0.00000	0.24871	0.24871	0.00000	-nan	-nan	0.00000
324	NC_045958.1	73475604	0.19786	0.19786	0.00000	1.00000	1.00000	0.00000	-nan	-nan	0.00000
325	NC_045958.1	74220214	0.62310	0.62310	0.00000	0.22982	0.22982	0.00000	-nan	-nan	0.00000
329	NC_045958.1	77473519	0.80184	0.80184	0.00000	0.28212	0.28212	0.00000	-nan	-nan	0.00000
334	NC_045958.1	86125792	0.46987	0.46987	0.00000	0.28586	0.28586	0.00000	-nan	-nan	0.00000
343	NC_045958.1	93202152	0.34288	0.34288	0.00000	0.17763	0.17763	0.00000	0.54999	0.54999	0.00000
351	NC_045958.1	99860432	0.15179	0.15179	0.00000	1.00000	1.00000	0.00000	-nan	-nan	0.00000
379	NC_045959.1	11702144	0.36404	0.36404	0.00000	0.37565	0.37565	0.00000	-nan	-nan	0.00000
394	NC_045959.1	41359071	0.08990	0.08990	0.00000	0.12638	0.12638	0.00000	-nan	-nan	0.00000
404	NC_045959.1	52628613	0.15586	0.15586	0.00000	0.04018	0.04018	0.00000	-nan	-nan	0.00000
475	NC_045960.1	3540457	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	-nan	-nan	0.00000
484	NC_045960.1	8071372	0.10644	0.10644	0.00000	0.01997	0.01997	0.00000	-nan	-nan	0.00000
508	NC_045960.1	28757923	0.07675	0.07675	0.00000	0.30696	0.30696	0.00000	-nan	-nan	0.00000
522	NC_045960.1	37538046	0.11026	0.11026	0.00000	0.30266	0.30266	0.00000	0.49113	0.49113	0.00000
528	NC_045960.1	42832174	0.15795	0.15795	0.00000	0.07617	0.07617	0.00000	-nan	-nan	0.00000
529	NC_045960.1	44467902	0.00315	0.00315	0.00000	0.00038	0.00038	0.00000	-nan	-nan	0.00000
546	NC_045960.1	57877902	0.56183	0.56183	0.00000	0.30755	0.30755	0.00000	-nan	-nan	0.00000
567	NC_045960.1	76554703	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	-nan	-nan	0.00000
569	NC_045960.1	79838621	0.88480	0.88480	0.00000	0.36947	0.36947	0.00000	-nan	-nan	0.00000
574	NC_045960.1	91780171	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	-nan	-nan	0.00000
602	NC_045961.1	17408421	0.30438	0.30438	0.00000	0.21327	0.21327	0.00000	-nan	-nan	0.00000
621	NC_045961.1	40543720	0.43406	0.43406	0.00000	0.38582	0.38582	0.00000	-nan	-nan	0.00000
624	NC_045961.1	42132075	0.37195	0.37195	0.00000	0.14376	0.14376	0.00000	-nan	-nan	0.00000
634	NC_045961.1	49758688	-0.09375	-0.09375	0.00000	-0.05150	-0.05150	0.00000	-nan	-nan	0.00000
665	NC_045962.1	460554	0.31923	0.31923	0.00000	0.30732	0.30732	0.00000	-nan	-nan	0.00000
676	NC_045962.1	14253304	0.07602	0.07602	0.00000	0.09811	0.09811	0.00000	0.38447	0.38447	0.00000
706	NC_045962.1	39556203	0.30186	0.30186	0.00000	0.12416	0.12416	0.00000	-nan	-nan	0.00000
720	NC_045962.1	57614661	0.16471	0.16471	0.00000	0.17280	0.17280	0.00000	-nan	-nan	0.00000
721	NC_045962.1	59158986	0.69124	0.69124	0.00000	0.52000	0.52000	0.00000	-nan	-nan	0.00000
729	NC_045962.1	75967146	1.00000	1.00000	0.00000	0.77551	0.77551	0.00000	-nan	-nan	0.00000
740	NC_045963.1	6038802	0.54415	0.54415	0.00000	0.46939	0.46939	0.00000	0.82108	0.82108	0.00000
749	NC_045963.1	17262797	0.68421	0.68421	0.00000	1.00000	1.00000	0.00000	-nan	-nan	0.00000
756	NC_045963.1	21961606	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	-nan	-nan	0.00000
780	NC_045963.1	48067031	0.64751	0.64751	0.00000	0.37035	0.37035	0.00000	0.73323	0.73323	0.00000
820	NC_045964.1	15774400	0.23914	0.23914	0.00000	0.26342	0.26342	0.00000	-nan	-nan	0.00000
863	NC_045964.1	56440131	0.20674	0.20674	0.00000	0.03649	0.03649	0.00000	-nan	-nan	0.00000
867	NC_045964.1	59593910	0.61741	0.61741	0.00000	0.34823	0.34823	0.00000	-nan	-nan	0.00000
871	NC_045964.1	65463612	0.45839	0.45839	0.00000	0.27282	0.27282	0.00000	-nan	-nan	0.00000
878	NC_045964.1	73226211	0.82468	0.82468	0.00000	0.56773	0.56773	0.00000	-nan	-nan	0.00000
900	NC_045965.1	22693354	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000	-nan	-nan	0.00000
913	NC_045965.1	31343934	-0.06864	-0.06864	0.00000	-0.01451	-0.01451	0.00000	-nan	-nan	0.00000
920	NC_045965.1	47310852	0.03135	0.03135	0.00000	0.24807	0.24807	0.00000	-nan	-nan	0.00000
924	NC_045965.1	51904861	-0.08249	-0.08249	0.00000	-0.00297	-0.00297	0.00000	-nan	-nan	0.00000
932	NC_045965.1	57606362	-0.01557	-0.01557	0.00000	-0.00700	-0.00700	0.00000	-nan	-nan	0.00000
956	NC_045966.1	18630599	0.12935	0.12935	0.00000	0.41403	0.41403	0.00000	-nan	-nan	0.00000
966	NC_045966.1	36709704	0.16735	0.16735	0.00000	0.15399	0.15399	0.00000	0.50153	0.50153	0.00000
976	NC_045966.1	42541836	-0.00947	-0.00947	0.00000	0.00041	0.00041	0.00000	-nan	-nan	0.00000
984	NC_045966.1	52282647	0.28496	0.28496	0.00000	0.59828	0.59828	0.00000	-nan	-nan	0.00000
991	NC_045966.1	60679700	1.00000	1.00000	0.00000	0.08714	0.08714	0.00000	0.28826	0.28826	0.00000
1002	NC_045967.1	3535989	0.97521	0.97521	0.00000	0.71148	0.71148	0.00000	-nan	-nan	0.00000
1027	NC_045967.1	26283713	0.42051	0.42051	0.00000	0.35400	0.35400	0.00000	-nan	-nan	0.00000
1047	NC_045967.1	52130172	0.40316	0.40316	0.00000	0.26017	0.26017	0.00000	0.74427	0.74427	0.00000
1053	NC_045967.1	57676791	0.28121	0.28121	0.00000	0.36036	0.36036	0.00000	-nan	-nan	0.00000
1085	NC_045968.1	27241754	0.43129	0.43129	0.00000	0.52643	0.52643	0.00000	-nan	-nan	0.00000
1105	NC_045968.1	52877089	0.05797	0.05797	0.00000	0.49688	0.49688	0.00000	-nan	-nan	0.00000
1139	NC_045969.1	29547571	0.57870	0.57870	0.00000	0.31286	0.31286	0.00000	0.66881	0.66881	0.00000
1143
